granularity;manufacturer;device;series;manufacturer_type;catalog_number;rated_current_A;poles_total;poles_protected;pole_configuration;characteristic;breaking_capacity_kA;residual_current_mA;rcd_type;voltage_type;heat_loss_W;heat_loss_basis;catalog_status;verification;notes;source_url
series;Siemens;ECPD;5TY1 COM;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;elektronický ochranný přístroj;https://cache.industry.siemens.com/dl/files/639/109750639/att_1314886/v1/04_ResidualCurrentProtectiveDevices_LV10_2025_EN_202502101816178705.pdf
series;ABB;Elektroměr;EQmatic / EQ meters;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;C/B/A series dle trhu;https://library.e.abb.com/public/aebbbf59babb402f994f3a4346753e50/2CDC002178B0104.pdf
series;CHINT;Elektroměr;DDSU / DTSU family;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;DIN elektroměry;https://www.chintglobal.com/
series;ETI;Elektroměr;ETIMETER;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;energy metering;https://www.eti.si/produkti-storitve/groups/katalog
series;Finder;Elektroměr;Series 7E / 7M / 1K;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;elektroměry a měření energie;https://www.findernet.com/
series;Hager;Elektroměr;EC / ECR / energy meter family;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;modulové elektroměry;https://hager.com/intl-en/catalogue/modular-devices
series;NOARK;Elektroměr;Ex9EM;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;modulové elektroměry;https://noark-electric.eu/en/catalog/installation_devices
series;ELKO EP;Fázové relé;HRN-43 / HRN-63 / HRN-64 / HRN-67;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;fázové/napěťové monitorování dle modelu;https://www.elkoep.com/
series;ELKO EP;Fázové relé;HRN-54N;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;"3f monitor; sled/porucha/napětí";https://www.elkoep.com/
series;ELKO EP;Hladinové relé;HRH-5;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;hladinové relé;https://www.elkoep.com/
series;Finder;Hladinové relé;Series 72;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;hladinová relé;https://www.findernet.com/
series;ABB;Impulsní relé;E260;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;impulsní relé;https://library.e.abb.com/public/aebbbf59babb402f994f3a4346753e50/2CDC002178B0104.pdf
series;ABB;Impulsní relé;E290;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;impulsní relé;https://library.e.abb.com/public/aebbbf59babb402f994f3a4346753e50/2CDC002178B0104.pdf
series;CHINT;Impulsní relé;NJB / modular relay family;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;impulsní/řídicí;https://www.chintglobal.com/
series;ELKO EP;Impulsní relé;MR-41;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;impulsní relé;https://www.elkoep.com/
series;ELKO EP;Impulsní relé;MR-42;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;paměťové/bistabilní relé;https://www.elkoep.com/
series;ETI;Impulsní relé;EVE-ETIREL bistable;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;bistabilní/impulsní;https://www.eti.si/produkti-storitve/groups/katalog
series;Eaton;Impulsní relé;Z-S;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;impulsní relé;https://www.eaton.com/content/dam/eaton/products/electrical-circuit-protection/circuit-breakers/eaton-xpole-catalog-nl-lr.pdf
series;Finder;Impulsní relé;Series 13;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;elektronická impulsní a kroková relé;https://www.findernet.com/
series;Finder;Impulsní relé;Series 26;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;elektromechanická impulsní relé;https://www.findernet.com/
series;Hager;Impulsní relé;EPN;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;latching/impulse relays;https://hager.com/intl-en/catalogue/modular-devices
series;Legrand;Impulsní relé;CX³;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;latching relays;https://www.legrand.com/ecatalogue/
series;OEZ;Impulsní relé;MIG;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;impulsní paměťová relé;https://www.oez.cz/files/editor_source/Dokumenty/Katalogy/Minia/OEZ-Katalog-Minia-CZ.pdf
series;OEZ;Impulsní relé;MIR;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;impulsní relé;https://www.oez.cz/files/editor_source/Dokumenty/Katalogy/Minia/OEZ-Katalog-Minia-CZ.pdf
series;Schneider Electric;Impulsní relé;Acti9 iTL;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;impulsní relé;https://www.se.com/be/en/download/document/Acti9_A9XPH212_CAT/
series;Schneider Electric;Impulsní relé;Acti9 iTL+;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;elektronické/tiché impulsní relé;https://www.se.com/be/en/download/document/Acti9_A9XPH212_CAT/
series;Schrack Technik;Impulsní relé;BZ / impulse relay family;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;impulsní relé;https://www.schrack.com/shop/
series;Siemens;Impulsní relé;5TT4 impulse relay family;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;impulsní relé;https://cache.industry.siemens.com/dl/files/639/109750639/att_1314886/v1/04_ResidualCurrentProtectiveDevices_LV10_2025_EN_202502101816178705.pdf
series;ABB;Instalační relé;E297;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;instalační relé;https://library.e.abb.com/public/aebbbf59babb402f994f3a4346753e50/2CDC002178B0104.pdf
series;ELKO EP;Instalační relé;VS116 / VS316;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;pomocná relé;https://www.elkoep.com/
series;Eaton;Instalační relé;Z-R;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;instalační relé;https://www.eaton.com/content/dam/eaton/products/electrical-circuit-protection/circuit-breakers/eaton-xpole-catalog-nl-lr.pdf
series;Hager;Instalační relé;ER;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;instalační relé;https://hager.com/intl-en/catalogue/modular-devices
series;NOARK;Instalační relé;Ex9R;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;instalační relé;https://noark-electric.eu/en/catalog/installation_devices
series;OEZ;Instalační relé;RPI;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;instalační relé;https://www.oez.cz/files/editor_source/Dokumenty/Katalogy/Minia/OEZ-Katalog-Minia-CZ.pdf
series;ABB;Jistič;S200;;;;;;;;;;;;;;current;series_from_manufacturer_catalog;MCB do 63 A;https://library.e.abb.com/public/aebbbf59babb402f994f3a4346753e50/2CDC002178B0104.pdf
variant;ABB;Jistič;S200;S200 1P B0.5;;0.5;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P C0.5;;0.5;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P D0.5;;0.5;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P B0.5;;0.5;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P C0.5;;0.5;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P D0.5;;0.5;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P B0.5;;0.5;3;3;3P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P C0.5;;0.5;3;3;3P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P D0.5;;0.5;3;3;3P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P B0.5;;0.5;4;4;4P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P C0.5;;0.5;4;4;4P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P D0.5;;0.5;4;4;4P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P B1;;1;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P C1;;1;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P D1;;1;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P B1;;1;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P C1;;1;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P D1;;1;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P B1;;1;3;3;3P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P C1;;1;3;3;3P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P D1;;1;3;3;3P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P B1;;1;4;4;4P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P C1;;1;4;4;4P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P D1;;1;4;4;4P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P B1.6;;1.6;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P C1.6;;1.6;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P D1.6;;1.6;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P B1.6;;1.6;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P C1.6;;1.6;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P D1.6;;1.6;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P B1.6;;1.6;3;3;3P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P C1.6;;1.6;3;3;3P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P D1.6;;1.6;3;3;3P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P B1.6;;1.6;4;4;4P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P C1.6;;1.6;4;4;4P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P D1.6;;1.6;4;4;4P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P B2;;2;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P C2;;2;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P D2;;2;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P B2;;2;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P C2;;2;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P D2;;2;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P B2;;2;3;3;3P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P C2;;2;3;3;3P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P D2;;2;3;3;3P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P B2;;2;4;4;4P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P C2;;2;4;4;4P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P D2;;2;4;4;4P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P B3;;3;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P C3;;3;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P D3;;3;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P B3;;3;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P C3;;3;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P D3;;3;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P B3;;3;3;3;3P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P C3;;3;3;3;3P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P D3;;3;3;3;3P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P B3;;3;4;4;4P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P C3;;3;4;4;4P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P D3;;3;4;4;4P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P B4;;4;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P C4;;4;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P D4;;4;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P B4;;4;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P C4;;4;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P D4;;4;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P B4;;4;3;3;3P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P C4;;4;3;3;3P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 3P D4;;4;3;3;3P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P B4;;4;4;4;4P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P C4;;4;4;4;4P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 4P D4;;4;4;4;4P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P B6;;6;1;1;1P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P C6;;6;1;1;1P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 1P D6;;6;1;1;1P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P B6;;6;2;2;2P;B;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P C6;;6;2;2;2P;C;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
variant;ABB;Jistič;S200;S200 2P D6;;6;2;2;2P;D;6;;;AC;;;current;catalog_matrix;;https://library.e.abb.com/public/ebd37fb8b69e4608b50fb23477a058db/ABB_System%20proMcompact_katalogSK17.pdf
